Team,Year,Total_Payroll,Wins
New York Yankees,2000,92538260,87
Los Angeles Dodgers,2000,88124286,86
Atlanta Braves,2000,84537836,95
Baltimore Orioles,2000,81447435,74
Arizona Diamondbacks,2000,81027833,85
New York Mets,2000,79509776,94
Boston Red Sox,2000,77940333,85
Cleveland Guardians,2000,75880871,90
Texas Rangers,2000,70795921,71
Tampa Bay Rays,2000,62765129,69
St. Louis Cardinals,2000,61453863,95
Colorado Rockies,2000,61111190,82
Chicago Cubs,2000,60539333,65
Seattle Mariners,2000,58915000,91
Detroit Tigers,2000,58265167,79
San Diego Padres,2000,54821000,76
San Francisco Giants,2000,53737826,97
Los Angeles Angels,2000,51464167,82
Houston Astros,2000,51289111,72
Philadelphia Phillies,2000,47308000,65
Cincinnati Reds,2000,46867200,85
Toronto Blue Jays,2000,46238333,83
Milwaukee Brewers,2000,36505333,73
Washington Nationals,2000,34807833,67
Oakland Athletics,2000,31971333,91
Chicago White Sox,2000,31133500,95
Pittsburgh Pirates,2000,28928333,69
Kansas City Royals,2000,23433000,77
Miami Marlins,2000,20072000,79
Minnesota Twins,2000,16519500,69
New York Yankees,2001,109791893,95
Boston Red Sox,2001,109558908,82
Los Angeles Dodgers,2001,108980952,86
New York Mets,2001,93174428,82
Cleveland Guardians,2001,91974979,91
Atlanta Braves,2001,91851687,88
Texas Rangers,2001,88504421,73
Arizona Diamondbacks,2001,81206513,92
St. Louis Cardinals,2001,77270855,93
Toronto Blue Jays,2001,75798500,80
Seattle Mariners,2001,75652500,116
Baltimore Orioles,2001,72426328,63
Colorado Rockies,2001,71068000,73
Chicago Cubs,2001,64015833,88
San Francisco Giants,2001,63332667,90
Chicago White Sox,2001,62363000,83
Houston Astros,2001,60382667,93
Tampa Bay Rays,2001,54951602,62
Pittsburgh Pirates,2001,52698333,62
Detroit Tigers,2001,49831167,66
Los Angeles Angels,2001,46568180,75
Cincinnati Reds,2001,45227882,66
Milwaukee Brewers,2001,43089333,68
Philadelphia Phillies,2001,41664167,86
San Diego Padres,2001,38333117,79
Kansas City Royals,2001,35643000,65
Miami Marlins,2001,35504167,76
Washington Nationals,2001,34774500,68
Oakland Athletics,2001,33810750,102
Minnesota Twins,2001,24350000,85
New York Yankees,2002,125928583,103
Boston Red Sox,2002,108366060,93
Texas Rangers,2002,105302124,72
Arizona Diamondbacks,2002,102820000,98
Los Angeles Dodgers,2002,94850952,92
New York Mets,2002,94633593,75
Atlanta Braves,2002,93470367,101
Seattle Mariners,2002,80282668,93
Cleveland Guardians,2002,78909448,74
San Francisco Giants,2002,78299835,95
Toronto Blue Jays,2002,76864333,78
Chicago Cubs,2002,75690833,67
St. Louis Cardinals,2002,74098267,97
Houston Astros,2002,63448417,84
Los Angeles Angels,2002,61721667,99
Baltimore Orioles,2002,60493487,67
Philadelphia Phillies,2002,57955000,80
Chicago White Sox,2002,57052833,81
Colorado Rockies,2002,56851043,73
Detroit Tigers,2002,55048000,55
Milwaukee Brewers,2002,50287833,56
Kansas City Royals,2002,47257000,62
Cincinnati Reds,2002,45050390,78
Pittsburgh Pirates,2002,42323598,72
Miami Marlins,2002,41979917,79
San Diego Padres,2002,41425000,66
Minnesota Twins,2002,40225000,94
Oakland Athletics,2002,39679746,103
Washington Nationals,2002,38670500,83
Tampa Bay Rays,2002,34380000,55
New York Yankees,2003,152749814,101
New York Mets,2003,117176429,66
Atlanta Braves,2003,106243667,101
Los Angeles Dodgers,2003,105872620,85
Texas Rangers,2003,103491667,71
Boston Red Sox,2003,99946500,95
Seattle Mariners,2003,86959167,93
St. Louis Cardinals,2003,83486666,85
San Francisco Giants,2003,82852167,100
Arizona Diamondbacks,2003,80640333,84
Chicago Cubs,2003,79868333,88
Los Angeles Angels,2003,79031667,77
Baltimore Orioles,2003,73877500,71
Houston Astros,2003,71040000,87
Philadelphia Phillies,2003,70780000,86
Colorado Rockies,2003,67179667,74
Cincinnati Reds,2003,59355667,69
Minnesota Twins,2003,55505000,90
Pittsburgh Pirates,2003,54812429,75
Washington Nationals,2003,51948500,83
Toronto Blue Jays,2003,51269000,86
Chicago White Sox,2003,51010000,86
Oakland Athletics,2003,50260834,96
Detroit Tigers,2003,49168000,43
Miami Marlins,2003,49050000,91
Cleveland Guardians,2003,48584834,68
San Diego Padres,2003,47928000,64
Milwaukee Brewers,2003,40627000,68
Kansas City Royals,2003,40518000,83
Tampa Bay Rays,2003,19630000,63
New York Yankees,2004,182835513,101
Boston Red Sox,2004,125208542,98
Los Angeles Angels,2004,101084667,92
New York Mets,2004,100629303,71
Philadelphia Phillies,2004,93219167,86
Chicago Cubs,2004,91101667,89
Los Angeles Dodgers,2004,89694342,93
Atlanta Braves,2004,88507788,96
San Francisco Giants,2004,82019167,91
Seattle Mariners,2004,81543833,63
St. Louis Cardinals,2004,75633517,105
Houston Astros,2004,74666303,92
Arizona Diamondbacks,2004,70204984,51
Chicago White Sox,2004,65212500,83
Colorado Rockies,2004,64590403,68
Oakland Athletics,2004,59825167,91
Texas Rangers,2004,54825973,89
San Diego Padres,2004,54639503,87
Minnesota Twins,2004,53585000,92
Baltimore Orioles,2004,51212653,78
Toronto Blue Jays,2004,50017000,67
Kansas City Royals,2004,47609000,58
Detroit Tigers,2004,46353554,72
Washington Nationals,2004,43197500,67
Cincinnati Reds,2004,43067858,76
Miami Marlins,2004,42118042,83
Cleveland Guardians,2004,34569300,80
Pittsburgh Pirates,2004,32227929,72
Tampa Bay Rays,2004,29506667,70
Milwaukee Brewers,2004,27518500,67
New York Yankees,2005,205938439,95
Boston Red Sox,2005,121311945,95
New York Mets,2005,104770139,83
Philadelphia Phillies,2005,95337908,88
Los Angeles Angels,2005,95017822,95
St. Louis Cardinals,2005,93319842,100
San Francisco Giants,2005,89487842,75
Chicago Cubs,2005,87210933,79
Seattle Mariners,2005,85883333,69
Atlanta Braves,2005,85148582,90
Los Angeles Dodgers,2005,81029500,71
Houston Astros,2005,76779022,89
Chicago White Sox,2005,75228000,99
Baltimore Orioles,2005,74570539,74
Detroit Tigers,2005,68998183,71
Arizona Diamondbacks,2005,63015834,77
San Diego Padres,2005,62888192,82
Miami Marlins,2005,60375961,83
Cincinnati Reds,2005,59658275,73
Minnesota Twins,2005,56615000,83
Oakland Athletics,2005,55869262,88
Texas Rangers,2005,55307258,79
Washington Nationals,2005,48581500,81
Colorado Rockies,2005,47789000,67
Toronto Blue Jays,2005,45336500,80
Cleveland Guardians,2005,41830400,93
Milwaukee Brewers,2005,40234833,81
Pittsburgh Pirates,2005,38138000,67
Kansas City Royals,2005,36881000,56
Tampa Bay Rays,2005,29893567,67
New York Yankees,2006,194663079,97
Boston Red Sox,2006,120099824,86
Los Angeles Angels,2006,103472000,89
Chicago White Sox,2006,102750667,90
New York Mets,2006,101084963,97
Los Angeles Dodgers,2006,98447187,88
Chicago Cubs,2006,94424499,66
Houston Astros,2006,92551503,82
Atlanta Braves,2006,90156876,79
San Francisco Giants,2006,90056419,76
St. Louis Cardinals,2006,88891371,83
Philadelphia Phillies,2006,88273333,85
Seattle Mariners,2006,87959833,78
Detroit Tigers,2006,82612866,95
Baltimore Orioles,2006,72585582,70
Toronto Blue Jays,2006,71915000,87
San Diego Padres,2006,69896141,88
Texas Rangers,2006,68228662,80
Minnesota Twins,2006,63396006,96
Washington Nationals,2006,63143000,71
Oakland Athletics,2006,62243079,93
Cincinnati Reds,2006,60909519,80
Arizona Diamondbacks,2006,59684226,76
Milwaukee Brewers,2006,57568333,75
Cleveland Guardians,2006,56031500,78
Kansas City Royals,2006,47294000,62
Pittsburgh Pirates,2006,46717750,67
Colorado Rockies,2006,41233000,76
Tampa Bay Rays,2006,35417967,61
Miami Marlins,2006,14998500,78
New York Yankees,2007,209081577,94
New York Mets,2007,137793376,88
Detroit Tigers,2007,137685196,88
Boston Red Sox,2007,133390035,96
Chicago White Sox,2007,121189332,72
Los Angeles Angels,2007,119216333,94
Los Angeles Dodgers,2007,118588536,82
Chicago Cubs,2007,118345833,85
Seattle Mariners,2007,117666482,88
Atlanta Braves,2007,102365683,84
St. Louis Cardinals,2007,99624449,78
Philadelphia Phillies,2007,98269880,89
Toronto Blue Jays,2007,97793900,83
Houston Astros,2007,88930414,73
Milwaukee Brewers,2007,80937499,83
Cleveland Guardians,2007,78970066,96
San Francisco Giants,2007,76594500,71
Cincinnati Reds,2007,74117695,72
San Diego Padres,2007,73677616,89
Colorado Rockies,2007,68655500,90
Texas Rangers,2007,67712326,75
Baltimore Orioles,2007,67196246,69
Arizona Diamondbacks,2007,66202712,90
Kansas City Royals,2007,58245500,69
Minnesota Twins,2007,56932766,79
Washington Nationals,2007,54961000,73
Pittsburgh Pirates,2007,48689783,68
Oakland Athletics,2007,47967126,76
Tampa Bay Rays,2007,43820597,66
Miami Marlins,2007,21811500,71
New York Yankees,2008,201449289,89
New York Mets,2008,135773988,89
Chicago Cubs,2008,135050000,97
Boston Red Sox,2008,122696000,95
Detroit Tigers,2008,115085145,74
Los Angeles Angels,2008,113709000,100
Philadelphia Phillies,2008,113004048,92
Houston Astros,2008,102996415,86
Los Angeles Dodgers,2008,100458101,84
Seattle Mariners,2008,98904167,61
Atlanta Braves,2008,96726167,72
Chicago White Sox,2008,96068500,89
St. Louis Cardinals,2008,88528411,86
San Francisco Giants,2008,82161450,72
Cleveland Guardians,2008,81625567,81
Toronto Blue Jays,2008,80993657,86
Milwaukee Brewers,2008,80257502,90
Colorado Rockies,2008,75201000,74
Arizona Diamondbacks,2008,73571667,82
Cincinnati Reds,2008,70968500,74
Kansas City Royals,2008,70908333,75
Texas Rangers,2008,68646023,79
Baltimore Orioles,2008,67101667,68
Minnesota Twins,2008,65299267,88
Tampa Bay Rays,2008,63313035,97
Oakland Athletics,2008,62310000,75
Washington Nationals,2008,59328000,59
Pittsburgh Pirates,2008,48743000,67
San Diego Padres,2008,42796700,63
Miami Marlins,2008,36814000,84
New York Yankees,2009,206333389,103
Boston Red Sox,2009,162747333,95
Chicago Cubs,2009,146859000,83
Philadelphia Phillies,2009,141927381,93
New York Mets,2009,132701445,70
Detroit Tigers,2009,122864929,86
Chicago White Sox,2009,108273197,79
Los Angeles Angels,2009,105013667,97
Seattle Mariners,2009,98376667,85
San Francisco Giants,2009,97828833,88
Minnesota Twins,2009,97559167,87
Los Angeles Dodgers,2009,94945517,95
St. Louis Cardinals,2009,93540753,91
Houston Astros,2009,92355500,74
Atlanta Braves,2009,84423667,86
Colorado Rockies,2009,84227000,92
Baltimore Orioles,2009,81612500,64
